T_A,T_sample,DT_sample
K,K,K
9.9286,50.43940004,0.143950258
10.9263,51.28948535,0.137663962
12.0424,51.35081904,0.132499486
13.0555,51.3931937,0.130018608
14.0171,51.66848848,0.137463391
15.0479,52.1649781,0.19919512
16.035,52.25665131,0.181902029
17.0239,52.77386235,0.143747453
18.0148,52.97081119,0.164283941
19.0093,53.40468375,0.147983319
20.0107,53.9253475,0.148143898
21.0116,54.24423607,0.152847794
22.0139,54.89994453,0.141295109
23.0142,55.25257352,0.178343474
24.0143,55.95370691,0.140554297
25.0148,56.48058368,0.120860667
26.0167,57.14409498,0.185759322
27.0156,57.50767762,0.14588944
28.0161,58.3175371,0.184313208
29.0195,58.71702508,0.128545792
30.0203,59.55421476,0.124768906
31.0235,60.31471308,0.178171214
32.0245,60.73479594,0.138647726
33.0252,61.63481179,0.154183015
34.0286,62.25366671,0.2121006
35.0327,62.98206728,0.181324493
36.0369,63.82336624,0.145679282
37.0401,64.45176371,0.132560849
38.0431,65.16169033,0.074794088
39.0518,65.86174563,0.164852645
40.0583,66.61505899,0.148099986
41.0616,67.49677837,0.131254415
42.0678,68.1948116,0.146531605
43.0762,69.05261147,0.177115447
44.081,69.74502759,0.121382713
45.0879,70.65314078,0.1532603
46.0954,71.47279945,0.207740328
47.0988,72.23390767,0.139277108
48.1055,73.00650075,0.212417095
49.1155,73.76461318,0.191603937
50.113,74.67015498,0.163618529
51.124,75.59765548,0.152971265
52.1298,76.52304818,0.17614571
53.1347,77.24423125,0.233670686
54.1353,78.05640146,0.233099164
55.1433,78.86507312,0.170339454
56.15,79.82709929,0.154069072
57.1529,80.70557834,0.132002808
58.1552,81.60047346,0.146683951
59.158,82.43011569,0.175557238
60.1666,83.18294186,0.2300446
61.1671,84.18415522,0.277323114
62.1688,85.20309433,0.257315487
63.177,85.92268916,0.186701257
64.1767,86.8219521,0.156052029
65.1825,87.69279614,0.152077284
66.1839,88.57590907,0.148314207
67.1904,89.49207366,0.168034226
68.188,90.36462616,0.164993516
69.1936,91.37882727,0.246413199
70.1945,92.20584575,0.230679836
71.1967,93.09478809,0.2289331
72.1956,94.01434986,0.205507226
73.1997,95.13275378,0.264197342
74.2001,96.11172048,0.254909884
75.2065,96.93129938,0.254556864
76.206,97.85423827,0.232230877
77.2032,98.6315769,0.21537408
78.2091,99.66526033,0.19162957
79.2098,100.5344396,0.171982901
80.2136,101.1597491,0.154598251
81.2119,102.3170955,0.315704895
82.2147,103.1206384,0.238069604
83.225,104.1697434,0.23283945
84.2212,105.1561201,0.273208179
85.2195,106.0337113,0.185866681
86.2155,106.932726,0.269101373
87.2261,107.9086614,0.207566329
88.229,108.9525051,0.237786795
89.2244,109.761464,0.220828951
90.2245,110.7811819,0.269530448
91.2354,111.6853888,0.235063546
92.2301,112.5757366,0.247200303
93.2371,113.516727,0.264626268
94.2268,114.4970286,0.32447842
95.229,115.6987926,0.411540113
96.236,116.9621222,0.436318762
97.228,117.9486926,0.257946114
98.2295,118.8785283,0.315154207
99.2375,119.8232485,0.295532456
100.234,120.8352712,0.272840839
101.233,122.0702072,0.505689876
102.23,123.0087705,0.367662771
103.232,124.0618783,0.368135255
104.241,124.7093497,0.210324859
105.242,125.6995302,0.370833601
106.233,126.6529793,0.253973191
107.238,127.5021848,0.507348674
108.243,128.5888017,0.18615734
109.241,129.1732288,0.21512529
110.237,129.9059983,0.242084012
111.242,130.7480815,0.244133561
112.238,131.7133235,0.258256655
113.242,132.7963743,0.274564773
114.24,133.5181597,0.318502747
115.241,134.3284369,0.35249646
116.246,135.3735512,0.345192276
117.246,136.2302068,0.447699443
118.243,137.15291,0.307796488
119.242,138.1750835,0.428534616
120.246,139.1595503,0.411495776
121.249,139.9638655,0.256572379
122.228,140.8356034,0.322605735
123.257,141.7701854,0.273049702
124.239,142.6455178,0.254732339
125.239,143.6276113,0.312618
126.226,144.849307,0.33364476
127.243,145.6417818,0.291521093
128.249,146.5026025,0.333057951
129.201,147.3771833,0.330516934
130.248,148.1382949,0.353362353
131.264,149.1116463,0.370185129
132.23,149.7971585,0.323480646
133.316,150.7992606,0.343510154
134.28,151.9004105,0.375019286
135.149,152.5968193,0.310465613
136.232,153.4704016,0.405265221
137.261,154.2401354,0.417303914
138.257,155.2947281,0.375333364
139.255,156.34015,0.524856943
140.258,157.3043773,0.39711656
141.246,158.1360029,0.422544462
142.271,159.0278802,0.422162123
143.263,159.8183829,0.352962884
144.235,160.7600369,0.314426121
145.261,161.6275566,0.326205475
146.242,162.484916,0.413130155
147.283,163.2864653,0.246710385
148.267,164.1316172,0.324825917
149.231,165.1298335,0.297298443
150.25,165.7506414,0.343206682
151.256,166.6849672,0.494264649
152.254,167.9373058,0.390935853
153.266,168.788702,0.467895287
154.245,169.5190783,0.375445689
155.273,170.4175484,0.301114123
156.262,171.3266687,0.39190995
157.255,172.3347062,0.380249396
158.243,173.119152,0.332154866
159.259,174.1073555,0.338027016
160.255,175.014216,0.386354764
161.266,175.8784955,0.378957679
162.249,176.7237407,0.503531107
163.252,177.7928796,0.450239146
164.264,178.6094968,0.450373406
165.249,179.6212139,0.480875751
166.256,180.6296298,0.500706314
167.26,181.3722198,0.38376297
168.258,182.3883976,0.376373129
169.247,183.2412818,0.36838803
170.255,184.2241894,0.381714705
171.262,185.1972896,0.39551732
172.264,186.0689191,0.450680507
173.262,187.0384944,0.44873181
174.251,187.9736875,0.353720771
175.259,188.6897516,0.387028535
176.253,189.7499446,0.498530769
177.256,190.4004076,0.348183918
178.249,191.3199785,0.350629872
179.263,192.2405216,0.33012192
180.241,193.141638,0.36961078
180.716,193.7997197,0.502935942
181.713,194.6313601,0.447572123
182.716,195.5240864,0.427103574
183.711,196.4589306,0.514056242
184.712,197.5805591,0.630358088
185.717,198.4189006,0.51797675
186.719,199.415165,0.419860717
187.716,200.3988018,0.50579286
188.714,201.2686134,0.49930765
189.71,202.1832898,0.453504256
190.711,203.0872421,0.453114946
191.714,204.078542,0.541788158
192.714,205.0116695,0.467657614
193.718,205.9359562,0.535728145
194.71,206.7971768,0.702196864
195.714,207.8676026,0.690047008
196.715,208.7733258,0.653580914
197.714,209.8390448,0.578262606
198.719,210.5902295,0.651503198
199.714,211.8018932,0.692116157
200.72,212.5090485,0.602484837
201.715,213.5117873,0.67202458
202.713,214.5162399,0.355053794
203.717,215.3294025,0.467989227
204.71,216.0867377,0.594323805
205.716,217.177822,0.385507261
206.72,218.3074613,0.567508378
207.717,219.044515,0.601769363
208.712,220.0994461,0.583946956
209.713,220.796901,0.627634932
210.714,221.7828022,0.75718278
211.719,222.9909663,0.487027787
212.713,223.7208089,0.572841514
213.717,224.4961755,0.519996845
214.713,225.7201028,0.872809743
215.717,226.5356977,0.585944382
216.718,227.5641702,0.643589515
217.722,228.3907998,0.542848061
218.717,229.2770228,0.487635247
219.718,229.9813306,0.469603474
220.721,230.7726432,1.042907659
221.716,232.0664966,0.453852477
222.711,232.8924654,0.737601483
223.715,234.088766,0.619070973
224.712,234.946039,0.640331935
225.72,235.8628091,0.549881817
226.722,236.5552472,0.547421095
227.718,237.5648278,0.803961993
228.722,238.3544487,0.305036021
229.717,239.1016445,0.72215109
230.72,240.1770258,0.405603048
231.719,241.1532923,0.413734075
232.721,242.0588093,0.64317735
233.721,242.7097287,0.892328662
234.721,243.6550714,0.980572632
235.719,245.0359816,0.492684954
236.723,245.4754232,0.63284415
237.718,246.5874852,0.785854435
238.716,247.6847303,0.66908405
239.725,248.4748185,0.726917394
240.718,249.656037,0.988606812
241.721,250.4883222,0.639032794
242.724,251.0621437,0.643035639
243.722,252.1591164,0.651282478
244.723,252.9748608,0.451943044
245.716,253.8585443,1.190319718
246.712,255.0408916,0.559641834
247.722,255.5392986,0.583142875
248.722,256.4901023,0.536549033
249.72,257.5692505,0.551598301
250.721,258.1462145,0.393230272
251.715,258.8587996,0.864602612
252.72,260.2122653,0.670671446
253.72,260.8661208,0.876115215
254.729,262.0818278,0.701435488
255.723,263.1307839,0.464536044
256.721,263.607986,0.542117014
257.716,264.6359304,1.029036852
258.719,265.6069115,0.799977112
259.731,266.5542597,0.848580694
260.725,267.4272616,0.694414911
261.72,268.4516715,0.707632597
262.721,269.2487418,0.684582742
263.723,270.0477484,0.664278912
264.721,270.8735209,0.643608464
265.728,271.5538962,0.626839071
266.728,272.3353895,0.607896007
267.73,272.9668011,0.592860964
268.706,273.721099,0.575244631
269.993,274.8473179,0.549715294
295.962,295.962,0
350.000,350.000,0
